ID,Title,Description
P0,Шағын зерттеу,"Жай ғана шағын зерттеу. Интернеттен іздеу, жасанды интеллектке жүгіну және барлық ақпаратты бір деректер жиынтығына жинау."
P1,Мақсатты аудиторияны зерттеу,Сіздің негізгі тұтынушыңыз кім? Сіздің қызметіңізден кім пайда көреді? Құндылықты кімге жеткізе аласыз?
P2,Техникалық зерттеу,Қалаған заттарды қалай жасауға болады? Сіз қандай технологияларды қолданасыз? Олар қалай бірге жұмыс істей алады?
P3,Толық ауқымды зерттеу,Сіз өзіңіздің барлық ресурстарыңыз бен күш-жігеріңізді өніміңізді мүмкіндігінше талаптарға сай етуге бағыттайсыз. Бұл ұзақ мерзімді перспективада көмектеседі... мүмкін.
P4,Негізгі прототип,"Бұл прототип сіздің идеяңыздың жұмыс істейтінін көрсетеді. Ия, ол жетілмеген, қателіктер бар, бірақ ол негізгі тұжырымдаманы көрсетеді."
P5,Қызмет прототипі,Бұл техникалық прототип емес. Сізде жұмыс парағы бар және сіз келген әрбір клиентпен қалғанын қолмен жасауыңыз керек.
P6,Техникалық прототип,"Енді сіз бәрі техникалық жағынан қалай жұмыс істейтінін білесіз. Пайдаланушы тәжірибесі? Жоқ, естіген жоқпын."
P7,MVP,Бұл MVP бәрін дәлелдейді және сіз оны таңдалған аудиторияға жібере аласыз. Ол жақсы жобаланған. Жақсы жасалған. Және оны құруға уақыт пен күш жұмсалды.
P8,Тек Миссия,Енді сіздің командаңыз белгілі бір сатылар не үшін істелініп жатқаныңызды түсінеді.
P9,Құндылықтар және стратегия,Құндылықтар сіздің командаңызға маңызды шешімдер қабылдауға көмектеседі. Стратегия оларды осы шешімдерді қабылдауға бағыттайды.
P10,Құндылықтар мен миссия,Құндылықтар сіздің командаңызға маңызды шешімдер қабылдауға көмектеседі. Миссия оларға осы шешімдерді қабылдауға мақсат береді.
P11,"Құндылықтар, миссия және стратегия","Сіз бәрін жасауға шешім қабылдадыңыз. Енді сіздің командаңыз неге, қалай және қандай шешімдер қабылдау керектігін біледі. Бұл сенімділікті тудырады."
P12,Ішкі тестілеу,Сіздің командаңыз бен достарыңыз өнімді сынау үшін жеткілікті. Аудиторияны жинаудың қажеті жоқ.
P13,Орта фокус тобында тестілеу,Сіздің тест тобыңыз сіздің аудиторияңыздан және жаңа пайдаланушылардан бірнеше ондаған адамнан тұрады. Бұл сіздің өніміңіздегі маңызды сәттерді анықтауға көмектеседі.
P14,Шын өмірдегі тестілеу,"Бұл сіздің өніміңізді желіде жариялау және оны пайдалану үшін пайдаланушыларды тарту салыстырмалы түрде жақсы идея. Егер сіз, әрине, туындаған барлық мәселелерді тез шешуге дайын болсаңыз."
P15,Пайдаланушы топтарымен каскадты тестілеу,"Әрқайсысы алдыңғысынан үлкенірек бірнеше кезеңнен тұратын толық ауқымды тестілеу. Сіз бәрін дайындап, орындадыңыз."
P16,Веб-сайт құру,Сізге міндетті түрде веб-сайт қажет. Тағы да бір нәрсе? Екіталай.
P17,Әлеуметтік медианы орнату,Дұрыс әлеуметтік медиа аккаунтымен бәрін жасауға болатын кезде веб-сайт кімге керек?
P18,Веб-сайт және әлеуметтік медиа,"Әлеуметтік медиа арқылы аудиторияны тарту оңайырақ, бірақ олар соңында бір жерде түпкілікті жиналуы керек."
P19,Толық маркетингтік стратегия,"Әлеуметтік медиа, веб-сайт, Қауымдастық орталығы, пресс-релиздер және ықпалды тұлғалармен байланыс. Табысқа жету үшін мұның бәрі қажет."
P20,Бір сервер,"Қарапайым бэкенд әбден жеткілікті болады, өйткені инфрақұрылымға қосымша ақша жұмсап неге аландауымыз керек? Не болуы мүмкін?"
P21,Бұлтты инфрақұрылым,"Егер біз бұлтты қолдана алсақ, өз серверімізді құру туралы неге алаңдаймыз? Бұл сәл қымбатырақ, бірақ әлдеқайда ыңғайлы."
P22,Бірнеше серверлер,Біз өз клиенттерімізге тұрақты қызмет көрсету үшін мұны қажетті сенімділікпен қалай жасау керектігін білеміз.
P23,Инфрақұрылымы бар DevOps командасы,Инфрақұрылымды мұқият жоспарлау қажет және ол қолдауды талап етеді. Сондықтан біз осы жобаны жүзеге асыруға көмектесу үшін DevOps командасын жалдауымыз керек.
