key,translation
START,"Бастау"
SETTINGS,"Параметрлер"
CREDITS,"Әзірлеушілер"
BACK,"Артқа"
PROCEED,"Жалғастыру"
DATE,"Күн"
DPGS,"DPG-лер"
RATE,"Деңгей"
BUDGET,"Бюджет"
COST,"Баға"
TIME,"Уақыт"
FIT_PTS,"Сәйкестік ұпайлары"
DEV_PTS,"Әзірлеу ұпайлары"
MARKET_PTS,"Нарық ұпайлары"
PROJECT_PROGRESS,"Жоба прогрессі"
NEXT_PHASE,"Келесі саты"
FINISH_GAME,"Ойынды аяқтау"
SKIP,"Өткізу"
TEAM,"Команда"
TEAM_SIZE,"Команда көлемі"
ACTIONS,"Іс-әрекеттер"
PROJECT,"Жоба"
GAME_OVER,"Сонымен бітті..."
GAME_OVER_DESCR,"Сіз барлық қол жетімді қаражатты жұмсадыңыз, бірақ өнім дайын болмады. Статистикаға сәйкес, бұл жиі кездесетін жағдай. Жақсы нәрсе-бұл жай ойын. Тек қайталап көріңіз!"
YOU_WIN,"Құттықтаймыз! Сіздің өніміңіз сәтті болды!"
RESTART,"Жаңадан бастау"
SCORES,"Ұпайлар"
SFX,"Дыбыстар"
MUSIC,"Музыка"
ON,"Қосу"
OFF,"Өшіру"
CONTINUE,"Жалғастыру"
EXIT,"Шығу"
RESEARCH,"Зерттеу фазасы"
PROTOTYPING,"Прототиптеу фазасы"
TEAM_RECRUIT,"Команда құру фазасы"
MVP,"MVP фазасы"
MARKET_VAL,"Нарықты тексеру фазасы"
DEVELOPMENT,"Әзірлеу фазасы"
DPG_STATUS_APP,"DPG мәртебесіне арыз"
RELEASE,"Релиз фазасы"
OPERATION,"Операция фазасы"
MAP_POPUP_TITLE,"Әлем картасы"
MAP_POPUP_DESC,"Өнімді жасай бастайтын аймақты таңдаңыз."
SCENARIO_POPUP_TITLE,"Кеттік!"
SCENARIO_POPUP_DESC,"Өнімді әзірлеуді бастау үшін бірінші жобаңызды таңдаңыз. Қаражат шектеулі. Жасыл ұпай жақсы. Қызыл ұпай жаман."
TEAM_POPUP_TITLE,"Команда"
TEAM_POPUP_DESC,"Жаңа топ мүшелерін жалдаңыз. Бұл сіздің шығындарыңыздың жылдамдығын арттырады, бірақ сізге көп ұпай жинауға көмектеседі."
ACTIONS_POPUP_TITLE,"Іс-әрекеттер"
ACTIONS_POPUP_DESC,"Әрекеттер қызыл ұпайларды азайтуға көмектеседі, бірақ жобаны әзірлеуді кідірту арқылы орындау үшін уақыт қажет."
